date,gold,sp500,dxy,kospi200
2009-02,942.2631546823602,805.2273688065378,86.55263198049445,148.3820007324219
2009-03,925.2954517711293,757.1268144087358,86.45818224820223,148.89590870250356
2009-04,892.6666666666666,848.1518990652902,85.25142887660435,170.34476216634116
2009-05,929.7099975585937,902.4085021972656,82.16100006103515,179.33000098334418
2009-06,946.3499977805398,926.1150013316761,80.09318161010742,178.48545559969816
2009-07,935.509091463956,935.8213639692826,79.48909065940164,189.25739122473675
2009-08,949.6952369326636,1009.7247576032366,78.44857134137835,205.31714448474702
2009-09,998.7142915271577,1044.5523826962426,77.0076192220052,217.46428571428572
2009-10,1044.3090931285512,1067.6636297052557,76.01181827891956,213.54666646321616
2009-11,1126.2450012207032,1088.0690063476563,75.33699989318848,208.2779983520508
2009-12,1128.9772838245738,1110.377724387429,76.78999987515536,217.13190423874627
2010-01,1116.8263003700658,1123.5815815172698,77.840526380037,220.86200027465821
2010-02,1098.1894788240131,1089.1599892064144,80.15578942549855,209.28722127278647
2010-03,1114.3565249235733,1152.0486901324728,80.67130445397419,217.9745469526811
2010-04,1151.4523751395088,1197.316185360863,81.23285747709728,227.12318073619497
2010-05,1203.9550048828125,1125.0620056152343,85.3615005493164,215.2384217914782
2010-06,1234.6636408025568,1083.3608953302557,86.5750004161488,221.09199981689454
2010-07,1191.7476225353423,1079.8033360072545,83.07047562372117,225.80904642740884
2010-08,1217.4454512162642,1087.2822709517045,82.14909120039506,229.4540911587802
2010-09,1273.0380917503721,1122.0819033668154,81.08333297002883,235.9838875664605
2010-10,1343.2190406436011,1171.5838099888392,77.45999944777716,244.865238734654
2010-11,1370.1857212611608,1198.8885614304315,78.37571461995442,250.50399932861328
2010-12,1393.954551003196,1241.5254516601562,80.04909133911133,264.24727630615234
2011-01,1361.679998779297,1282.6184997558594,79.146000289917,276.03809611002606
2011-02,1373.805265727796,1321.1178877981085,77.78263172350432,264.2693318684896
2011-03,1422.6173891813858,1304.4865138841712,76.28956604003906,264.7423822312128
2011-04,1481.8650024414062,1331.5050109863282,74.72449989318848,284.72952415829616
2011-05,1511.0142880394346,1338.3104654947917,74.94142841157459,280.3610502544202
2011-06,1527.9954556551847,1287.2886408025568,74.6936361139471,272.6371445428757
2011-07,1577.1250061035157,1325.184503173828,74.75699958801269,280.5614990234375
2011-08,1758.491306470788,1185.3056534476902,74.23652184527853,241.4499976748512
2011-09,1762.1857154482886,1173.8790573846727,76.990476335798,231.21949844360353
2011-10,1669.9142775762648,1207.2161865234375,77.15428524925595,237.89052782560648
2011-11,1742.5904831659227,1226.414771670387,77.89142899286179,243.15
2011-12,1641.9666748046875,1243.3228469122023,79.61142803373791,243.59300003051757
2012-01,1660.195001220703,1300.5780151367187,80.2680004119873,248.46666802300348
2012-02,1743.8350158691405,1352.4875,78.93149948120117,262.91095551990327
2012-03,1675.6590964577415,1389.2400013316762,79.53681807084517,267.0252394903274
2012-04,1650.5850036621093,1386.4289855957031,79.40150032043456,264.7029400993796
2012-05,1588.2818104137075,1341.2727161754262,80.92545491998845,250.3057134719122
2012-06,1600.690464564732,1323.4842936197917,82.22047714960007,244.98199844360352
2012-07,1592.51904296875,1359.7761986142114,83.06761896042596,240.535001373291
2012-08,1629.9173902428668,1403.4482581097147,82.16000034498131,254.1709074540572
2012-09,1748.8052593030427,1443.4194721422698,79.8142109921104,258.4278941907381
2012-10,1747.7285737537202,1437.816662016369,79.70809500558036,254.3499995640346
2012-11,1721.3190452938989,1394.5123872302827,80.68523842947823,249.57142857142858
2012-12,1684.3800048828125,1422.2854919433594,79.75849990844726,260.97764946432676
2013-01,1670.4476260230654,1480.395240420387,79.87333279564267,261.86227278275925
2013-02,1627.4684030633223,1512.3115812602796,80.60526315789474,261.26722547743054
2013-03,1591.5050048828125,1550.8289855957032,82.6254997253418,261.76420914499386
2013-04,1484.6272804953835,1570.702264959162,82.52500048550692,253.32749862670897
2013-05,1416.6181918057528,1639.842723499645,83.2136362249201,256.92842021741365
2013-06,1342.1350036621093,1618.7725158691405,81.85049972534179,245.69222513834634
2013-07,1285.8045543323863,1668.6754427823153,82.7895462729714,242.8331825949929
2013-08,1352.6681574041193,1670.0936390269887,81.48181776566939,246.2623821440197
2013-09,1345.985009765625,1687.1735046386718,81.15949897766113,259.9511745677275
2013-10,1316.8347751783288,1720.0265317170517,79.86652175239895,267.08952258882067
2013-11,1275.104998779297,1783.5410034179688,80.84400024414063,264.5104762486049
2013-12,1225.0095156715029,1807.7752336774554,80.30666605631511,261.76649780273436
2014-01,1244.0619012741815,1822.3566603887648,80.8095241728283,254.17949981689452
2014-02,1300.9842143811677,1817.0347386410363,80.4573685495477,252.47099838256835
2014-03,1336.4285714285713,1863.5233386811756,79.87047685895648,253.76190403529577
2014-04,1298.423793247768,1864.2633347284227,79.85333360944476,259.60904802594865
2014-05,1287.538097563244,1889.7671421595983,79.9490472702753,260.0731578626131
2014-06,1282.161900111607,1947.087611607143,80.442382085891,259.82263022974917
2014-07,1310.6363636363637,1973.0999866832387,80.54772637107156,262.07695737092394
2014-08,1295.0571463448662,1961.5319068545386,81.86380949474517,265.50350189208984
2014-09,1235.1285691034227,1993.2261904761904,84.45904795328777,260.82631321957234
2014-10,1222.93042522928,1937.2743503736413,85.67043470299762,245.78428359258743
2014-11,1176.1789422286183,2044.5721050061677,87.72842085988898,249.8739990234375
2014-12,1200.168174050071,2054.2663629705257,89.1568173495206,248.88714454287575
2015-01,1252.9249938964845,2028.1785095214843,92.9770004272461,246.6547619047619
2015-02,1224.9105224609375,2082.1957943564967,94.45789337158203,250.29000046673943
2015-03,1177.768182927912,2079.9904396750712,97.87818249789152,255.464091907848
2015-04,1199.828578404018,2094.862839471726,97.59190477643695,264.22318267822266
2015-05,1198.2150085449218,2111.9435180664063,95.1920009613037,262.82111104329425
2015-06,1180.7818215110085,2099.2836581143465,95.17000024968928,252.88363786177203
2015-07,1128.113641912287,2094.1436268199573,96.96227299083363,248.40782762610394
2015-08,1118.7333112444196,2039.8662051246279,96.37809499104817,234.4800003051758
2015-09,1123.8238002232142,1944.4023844401042,95.75809515090216,233.92049713134764
2015-10,1159.859092018821,2024.8127163973722,95.71409086747603,246.02904619489397
2015-11,1084.0050048828125,2080.61650390625,99.03300056457519,246.65619041806175
2015-12,1069.9454567649148,2054.0795621004972,98.33409049294211,242.59571329752603
2016-01,1097.6420962685033,1918.5978875411183,99.02300033569335,230.69050064086915
2016-02,1201.4050048828126,1904.4184936523438,97.09550018310547,232.4227786593967
2016-03,1244.8818192915483,2021.9540904651988,96.25954506613992,242.6461908249628
2016-04,1242.5380801246279,2075.5352318173364,94.403809320359,245.66450119018555
2016-05,1259.5904773530506,2065.5504789806546,94.52190471830822,241.43200073242187
2016-06,1276.7454612038352,2083.891368519176,94.67227207530628,244.36809648786272
2016-07,1337.2100036621093,2148.9019775390625,96.57250061035157,248.96238127208892
2016-08,1337.9565270465353,2177.482167119565,95.38000023883322,255.4568169333718
2016-09,1325.1142868768602,2157.690964471726,95.46523757207962,257.3278929057874
2016-10,1263.9800109863281,2143.0209379650296,97.73899917602539,257.5890007019043
2016-11,1235.9600036621093,2164.9856887090773,99.7055004119873,252.3309097290039
2016-12,1151.395252046131,2246.6290457589284,102.01333254859561,259.7570007324219
2017-01,1193.190008544922,2275.1159790039064,101.12199974060059,266.3531574450041
2017-02,1234.5420949835527,2329.9105417351975,100.69105329011616,269.4854995727539
2017-03,1230.378269361413,2366.822170091712,100.75912973155145,277.825908314098
2017-04,1268.6526392886512,2359.309454666941,100.04526278847142,280.4789460834704
2017-05,1243.7636385830965,2395.345880681818,98.26863653009588,300.1189446700247
2017-06,1260.0590931285512,2433.98545143821,96.94863683527166,308.59666515531995
2017-07,1235.9599975585938,2454.102502441406,94.8610008239746,316.13476126534596
2017-08,1283.7956436820652,2456.2230702275815,93.17608642578125,310.14454512162644
2017-09,1313.9400024414062,2492.8410400390626,92.32400054931641,312.35157856188323
2017-10,1279.2500055486505,2556.9972700639205,93.71954484419389,328.2531261444092
2017-11,1280.6904703776042,2593.605736142113,93.9971440633138,334.4163624156605
2017-12,1265.5700073242188,2664.34052734375,93.38800010681152,324.4683312310113
2018-01,1330.675,2789.8038155691966,90.74476187569755,329.8118161288175
2018-02,1330.0578806023848,2705.1552477384867,89.73052617123253,315.6622195773655
2018-03,1324.2381068638392,2702.7738211495534,89.87619127546039,316.62952677408856
2018-04,1335.3428664434523,2653.6252092633927,90.2933327811105,315.5057155064174
2018-05,1302.6181696111505,2701.4936190518465,93.29954598166726,316.48450164794923
2018-06,1280.0238037109375,2754.3528878348216,94.37714276994977,308.009476511102
2018-07,1236.0238211495537,2793.643357049851,94.59761919294085,295.45909257368606
2018-08,1199.9521749745245,2857.8204292629075,95.48173954175866,294.538178877397
2018-09,1196.705258018092,2901.5005139802633,94.73947464792352,296.3252958409926
2018-10,1213.9695673403533,2785.4647800611415,95.85260938561481,278.17476254417784
2018-11,1219.2381010509673,2723.231422061012,96.76142883300781,270.4300009987571
2018-12,1253.0473697060033,2567.3073858963817,96.87578984310753,266.6610525030839
2019-01,1290.8618977864583,2607.3899972098216,95.93761880057198,270.8777292424982
2019-02,1318.4473684210527,2754.8642064144738,96.45842100444592,286.00941198012407
2019-03,1298.5285935174852,2803.9837937127977,96.78285689581008,278.5445037841797
2019-04,1284.7857200985864,2903.799979073661,97.35857173374721,285.9672740589489
2019-05,1283.3727195046165,2854.705910422585,97.74181782115589,269.44762021019346
2019-06,1359.669989013672,2890.165979003906,96.80450057983398,272.7173670718544
2019-07,1413.295448996804,2996.1136363636365,97.36590922962536,272.14739194123644
2019-08,1502.0363658558238,2897.450450550426,98.00454503839666,255.90333266485305
2019-09,1507.4199951171875,2982.156005859375,98.59999961853028,270.15368331106083
2019-10,1493.330423106318,2977.675197435462,98.1730436242145,273.83905029296875
2019-11,1470.0000061035157,3104.9044921875,98.06499977111817,282.5038088843936
2019-12,1480.8523763020833,3176.74951171875,97.37666684105282,286.46399688720703
2020-01,1559.933337983631,3278.202857607887,97.43619028727214,296.2434967041016
2020-02,1595.6157804790296,3277.3141832853617,98.84315852115029,292.2909957885742
2020-03,1594.6500077681108,2652.393632368608,98.8350004716353,242.07909046519887
2020-04,1694.9809395926338,2761.9752255394346,99.91285705566406,246.5430000305176
